Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Supplier	Supplier Item Number	Tax Code When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax Code When Sold	Sell Price Inclusive	Sales Tax Calc. Method	# Items/Sell Unit	Quantity Break 1	Quantity Break 2	Quantity Break 3	Quantity Break 4	Quantity Break 5	"Price Level A, Qty Break 1"	"Price Level B, Qty Break 1"	"Price Level C, Qty Break 1"	"Price Level D, Qty Break 1"	"Price Level E, Qty Break 1"	"Price Level F, Qty Break 1"	"Price Level A, Qty Break 2"	"Price Level B, Qty Break 2"	"Price Level C, Qty Break 2"	"Price Level D, Qty Break 2"	"Price Level E, Qty Break 2"	"Price Level F, Qty Break 2"	"Price Level A, Qty Break 3"	"Price Level B, Qty Break 3"	"Price Level C, Qty Break 3"	"Price Level D, Qty Break 3"	"Price Level E, Qty Break 3"	"Price Level F, Qty Break 3"	"Price Level A, Qty Break 4"	"Price Level B, Qty Break 4"	"Price Level C, Qty Break 4"	"Price Level D, Qty Break 4"	"Price Level E, Qty Break 4"	"Price Level F, Qty Break 4"	"Price Level A, Qty Break 5"	"Price Level B, Qty Break 5"	"Price Level C, Qty Break 5"	"Price Level D, Qty Break 5"	"Price Level E, Qty Break 5"	"Price Level F, Qty Break 5"	Inactive Item	Standard Cost
C033_NUSH_IC_03_TMISU	3oz IceCream (1800) Tira Misu		S	I	11347	41119	50017																0	$117.00	1800	GST		0	1	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C033_NUSH_IC_03_VANIL	3oz IceCream (1800) Vanilla		S	I	11347	41119	50017																0	$117.00	1800	GST		0	1	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C034_PCUP_SW_08_PPRCUP	8oz S/W (1000) PaperCup		S	I	11326	41107	50003																0	$65.00	1000	GST		0	1	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C035_ROSSO_DW_04_ROSS	"4oz D/W (1,000) ROSSO"		S	I	11329	41103	50001																0	$70.00	1000	GST		0	1	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C035_ROSSO_DW_08_ROSS	8oz D/W (600) ROSSO		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C035_ROSSO_DW_12_ROSS	12oz D/W (500) ROSSO		S	I	11331	41110	50012																0	$45.00	500	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C035_ROSSO_DW_16_ROSS	16oz D/W (360) ROSSO		S	I	11332	41112	50014																0	$46.80	360	GST		0	1	0	0	0	0	0	46.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C035_ROSSO_SW_08T_ROSS	"8ozT S/W (1,000) ROSSO"		S	I	11340	41116	50007																0	$40.00	1000	GST		0	1	0	0	0	0	0	40	65	65	65	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C035_ROSSO_SW_12_ROSS	"12oz  S/W (1,000) ROSSO"		S	I	11327	41109	50011																0	$50.00	1000	GST		0	1	0	0	0	0	0	50	85	85	85	85	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C035_ROSSO_SW_16_ROSS	16oz S/W (800) ROSSO		S	I	11328	41111	50013																0	$48.00	800	GST		0	1	0	0	0	0	0	48	84	84	84	84	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C036_SCHUR_DW_08_SCHUR	8oz D/W (500) SCHUR		S	I	11330	41108	50004																0	$37.50	500	GST		0	1	0	0	0	0	0	37.5	37.5	37.5	37.5	37.5	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C036_SCHUR_DW_12_SCHUR	12oz D/W (500) SCHUR		S	I	11331	41110	50012																0	$45.00	500	GST		0	1	0	0	0	0	0	45	45	45	45	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C036_SCHUR_DW_16_SCHUR	16oz D/W (360) SCHUR		S	I	11332	41112	50014																0	$41.40	360	GST		0	1	0	0	0	0	0	41.4	41.4	41.4	41.4	41.4	41.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C036_SCHUR_FC_16_SANCHURRO	440ml F/C (605) San Churro		S	I	11335	41123	50021																0	$57.48	605	GST		0	1	0	0	0	0	0	57.48	62.7	62.7	62.7	62.7	62.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C036_SCHUR_IC_03_SCHURRO	"3oz I/C (1,500) San Churro"		S	I	11347	41119	50017																0	$82.50	1500	GST		0	1	0	0	0	0	0	82.5	97.5	97.5	97.5	97.5	97.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C036_SCHUR_IC_05_SCHUR	"5oz I/C (1,000) San Churro"		S	I	11348	41121	50018																0	$65.00	1000	GST		0	1	0	0	0	0	0	65	78	78	78	78	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C036_SCHUR_SC_16_SCHUR	16oz S/W (800) Shake		S	I	11346	41114	51114																0	$52.00	800	GST		0	1	0	0	0	0	0	52	52	52	52	52	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C037_SNELL_SW_12_ALTZ	12oz S/W (1000) Altezano		S	I	11327	41109	50011																0	$70.00	1000	N-T		0	1	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C038_STRBER_FC_16_STRBER	Food Cont 440ml (660) StrBerry		S	I	11335	41123	50021																0	$87.00	660	GST		0	1	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C038_STRBER_FC_20_STRBER	Food Cnt 500ml(550) Star Berry		S	I	11336	41124	50022																0	$87.00	550	GST		0	1	0	0	0	0	0	87	87	87	87	87	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C038_STRBER_IC_08_STRBER	8oz Ice Cream (1200) Star Berr		S	I	11349	41120	50019																0	$81.00	1200	GST		0	1	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_04_BELF	"4oz D/W (1,000) Belfresco"		S	I	11329	41103	50001																0	$65.00	1000	GST		0	1	0	0	0	0	0	65	65	65	65	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_AVEN	8oz D/W (600) Avenel		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_BELF	8oz D/W (600) Belfresco		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_EILBAK	8ozU D/W (600) Eildon Bakery		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_GAFN	8oz D/W (600) Gaf Bakery		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_JAX	8ozU D/W (600) JAX		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_KEMP	8oz D/W (600) KEMP		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_MADDY'S	8ozU D/W (600) Maddy's Caffe		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08_PROVEND	8oz D/W (600) The Provender		S	I	11330	41108	50004																0	$48.00	600	GST		0	1	0	0	0	0	0	48	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08T_EUROA	8ozT D/W (500) Euroa Bakery		S	I	11342	41118	50009																0	$40.00	500	GST		0	1	0	0	0	0	0	40	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08T_EVOKE	8ozT D/W (500) Evoke		S	I	11342	41118	50009																0	$40.00	500	GST		0	1	0	0	0	0	0	40	40	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08T_MAWSBAK	8ozT D/W (500) Mawsons Bakery		S	I	11342	41118	50009																0	$40.00	500	GST		0	1	0	0	0	0	0	40	40	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_08TK_LITLIPARI	8ozTK D/W (500) Little Lipari		S	I	11342	41118	50009																0	$40.00	500	GST		0	1	0	0	0	0	0	40	40	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_AVEN	12oz D/W (500) Avenel		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_BELF	12oz D/W (500) Belfresco		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_BERTBAK	12oz D/W (500) BERT BAKERY		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_EILBAK	12oz D/W (500) Eildon Bakery		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_EUROA	12oz D/W (500) Euroa Bakery		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_EVOKE	12oz D/W (500) Evoke		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_GAFN	12oz D/W (500) Gaf Bakery		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_JAX	12oz D/W (500) JAX		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_KEMP	12oz D/W (500) KEMP		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_MADDY'S	12oz D/W (500) Maddy's Caffe		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_MAWSBAK	12oz D/W (500) Mawsons Bakery		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12_PROVEND	12oz D/W (500) The Provender		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_12K_LITLIPARI	12ozK D/W (500) Little Lipari		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_AVEN	16oz D/W (360) Avenel		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	43.2	43.2	43.2	43.2	43.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_BELF	16oz D/W (360) Belfresco		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	43.2	43.2	43.2	43.2	43.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_EILBAK	16oz D/W (360) Eildon Bakery		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	39.6	39.6	39.6	39.6	39.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_EUROA	16oz D/W (360) Euroa Bakery		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	39.6	39.6	39.6	39.6	39.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_EVOKE	16oz D/W (360) Evoke		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	39.6	39.6	39.6	39.6	39.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_GAFF	16oz D/W (360) Gaffney's		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	43.2	43.2	43.2	43.2	43.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_JAX	16oz D/W (360) JAX		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	39.6	39.6	39.6	39.6	39.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_KEMP	16oz D/W (360) KEMP		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	43.2	43.2	43.2	43.2	43.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_MAWSBAK	16oz D/W (360) Mawsons Bakery		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	43.2	43.2	43.2	43.2	43.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_DW_16_PROVEND	16oz D/W (360) The Provender		S	I	11332	41112	50014																0	$43.20	360	GST		0	1	0	0	0	0	0	43.2	39.6	39.6	39.6	39.6	39.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_SC_16_EUROA	16oz S/C (800) Euroa Bakery		S	I	11346	41114	51114																0	$70.40	800	GST		0	1	0	0	0	0	0	70.4	68	68	68	68	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_SC_24_EUROA	24oz S/C (500) Euroa Bakery		S	I	11344	41115	50016																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	56	56	56	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C039_STRMLN_SC_24_GEN	24oz S/W (500) Generic - Wave		S	I	11344	41115	50016																0	$40.00	500	GST		0	1	0	0	0	0	0	40	56	56	56	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C040_CHASE_SW_08_CHASE	8oz S/W (1000) CHASE		S	I	11326	41107	50003																0	$75.00	1000	GST		0	1	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C040_CHASE_SW_12_CHASE	12oz S/W (1000) CHASE		S	I	11327	41109	50011																0	$95.00	1000	GST		0	1	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C041_GRMCHF_FC_08_48FLV	280ml F/C (605) 48 Flavours		S	I	11334	41122	50020																0	$48.40	605	GST		0	1	0	0	0	0	0	48.4	56.1	56.1	56.1	56.1	56.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C041_GRMCHF_IC_03_48FLV	3oz I/C (1500) 48FLV		S	I	11347	41119	50017																0	$97.50	1500	GST		0	1	0	0	0	0	0	97.5	117	117	117	117	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C041_GRMCHF_IC_05_48FLV	5oz Ice Cream (1000) 48FLV		S	I	11348	41121	50018																0	$75.00	1000	GST		0	1	0	0	0	0	0	75	75	75	75	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C041_GRMCHF_IC_08_48FLV	8oz Ice Cream (1000) 48FLV		S	I	11349	41120	50019																0	$85.00	1000	GST		0	1	0	0	0	0	0	85	85	85	85	85	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C041_GRMCHF_SC_16_48FLV	16oz Cold (800) 48FLV		S	I	11346	41114	51114																0	$72.00	800	GST		0	1	0	0	0	0	0	72	72	72	72	72	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C041_GRMCHF_SC_22_48FLV	22oz Cold (500) 48FLV		S	I	11343	41150	50015																0	$50.00	500	GST		0	1	0	0	0	0	0	50	65	65	65	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C041_GRMCHF_SC_24_48FLV	24oz Cold (800) 48FLV		S	I	11344	41115	50016																0	$84.00	800	GST		0	1	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C042_STKATH_FC_20_STKATH	Food Cont 500ml (600) StKath		S	I	11336	41124	50022																0	$60.50	550	GST		0	1	0	0	0	0	0	60.5	60.5	60.5	60.5	60.5	60.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C042_STKATH_FC_30_STKATH	Food Cont 700ml (600) StKath		S	I	11338	41126	50024																0	$75.00	600	GST		0	1	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C042_STKATH_IC_08_STKATH	8oz Ice Cream (1200) StKath		S	I	11349	41120	50019																0	$114.00	1200	GST		0	1	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C043_THBRM_DW_08_THBRM	8oz D/W (500) TheoBroma		S	I	11330	41108	50004																0	$40.00	500	GST		0	1	0	0	0	0	0	40	37.5	33	33	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C043_THBRM_DW_12_THBRM	12oz D/W (500) TheoBroma		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	45	45	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C043_THBRM_DW_16_THBRM	16oz D/W (360) TheoBroma		S	I	11332	41112	50014																0	$50.40	360	GST		0	1	0	0	0	0	0	50.4	48.6	48.6	48.6	48.6	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C044_CHBLOC_DW_08_CHCBLK	8oz D/W (500) ChocBlock		S	I	11330	41108	50004																0	$33.00	500	GST		0	1	0	0	0	0	0	33	33	33	33	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C044_CHBLOC_DW_12_CHCBLK	12oz D/W (500) ChocBlock		S	I	11331	41110	50012																0	$42.50	500	GST		0	1	0	0	0	0	0	42.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C045_TREVNT_SC_08-HBF	8oz Cold (1000) HBF Run		S	I	11350	41106	50005																0	$65.00	1000	GST		0	1	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C046_VIVO_DW_04_VIVO	"4oz D/W (1,000) VIVO"		S	I	11329	41103	50001																0	$60.00	1000	GST		0	1	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C046_VIVO_DW_08_VIVO	8oz D/W (600) VIVO		S	I	11330	41108	50004																0	$42.00	600	GST		0	1	0	0	0	0	0	42	42	42	42	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C046_VIVO_DW_12_VIVO	12oz D/W (500) VIVO		S	I	11331	41110	50012																0	$42.50	500	GST		0	1	0	0	0	0	0	42.5	45	45	45	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C046_VIVO_DW_16_VIVO	16oz D/W (360) VIVO		S	I	11332	41112	50014																0	$45.00	360	GST		0	1	0	0	0	0	0	45	45	45	45	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C047_ANGLO_FC_08_CINN	FC1Cinn- 280ml (605)		S	I	11334	41122	50020																0	$45.38	605	GST		0	1	0	0	0	0	0	45.375	45.375	45.375	45.375	45.375	45.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C047_ANGLO_FC_08_CRNFLK	FC1  Cornflakes 280ml (605)		S	I	11334	41122	50020																0	$45.38	605	GST		0	1	0	0	0	0	0	45.375	49.5	49.5	49.5	49.5	49.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C047_ANGLO_FC_08_OFRMUS	280ml F/C (605) ORG FRT Muesli		S	I	11334	41122	50020																0	$45.38	605	GST		0	1	0	0	0	0	0	45.375	49.5	49.5	49.5	49.5	49.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C047_ANGLO_FC_16_CHKN	FC 2 CHKN- 440ml (660)		S	I	11335	41123	50021																0	$59.40	660	GST		0	1	0	0	0	0	0	59.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C047_CNTPNT_FC_08_TSTFRTMUS	280ml F/C (605) TST FRT Muesli		S	I	11334	41122	50020																0	$45.38	605	GST		0	1	0	0	0	0	0	45.375	49.5	49.5	49.5	49.5	49.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C048_DNDLIO_SC_22_DNDLIO	22oz Cold (800) DNDLIO		S	I	11343	41150	50015																0	$62.00	800	GST		0	1	0	0	0	0	0	62	62	62	62	62	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C048_DNDLIO_SW_04_DNDLIO	"4oz S/W (3,200) DNDLIO"		S	I	11325	41102	50002																0	$160.00	3200	GST		0	1	0	0	0	0	0	160	160	160	160	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C048_DNDLIO_SW_06_DNDLIO	"6.5oz S/W (1,800) DNDLIO"		S	I	11339	41105	50006																0	$90.00	1800	GST		0	1	0	0	0	0	0	90	105	105	105	105	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C048_DNDLIO_SW_08T_DNDLIO	"8ozT S/W (1,000) DNDLIO"		S	I	11340	41116	50007																0	$60.00	1000	GST		0	1	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C048_DNDLIO_SW_12_DNDLIO	"12oz S/W (1,000) DNDLIO"		S	I	11327	41109	50011																0	$75.00	1000	GST		0	1	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
